"RFXT065.Code.or.Value","RFXT065.Value.Description","RFXT065.Count","RFXT065.Cumulative","RFXT065.Skip.to.Item"
"557 to 566","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
