"LBDSCRSI.Code.or.Value","LBDSCRSI.Value.Description","LBDSCRSI.Count","LBDSCRSI.Cumulative","LBDSCRSI.Skip.to.Item"
"12.38 to 1384.34","Range of Values",6860,6860,NA
".","Missing",509,7369,NA
