"WBXF083.Code.or.Value","WBXF083.Value.Description","WBXF083.Count","WBXF083.Cumulative","WBXF083.Skip.to.Item"
"4000 to 4000","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
