"DSQTPROT.Code.or.Value","DSQTPROT.Value.Description","DSQTPROT.Count","DSQTPROT.Cumulative","DSQTPROT.Skip.to.Item"
"0.01 to 52","Range of Values",248,248,NA
".","Missing",9723,9971,NA
