"URXCHS.Code.or.Value","URXCHS.Value.Description","URXCHS.Count","URXCHS.Cumulative","URXCHS.Skip.to.Item"
"0.035 to 0.035","Range of Values",2100,2100,NA
".","Missing",512,2612,NA
