"DS2IVB2.Code.or.Value","DS2IVB2.Value.Description","DS2IVB2.Count","DS2IVB2.Cumulative","DS2IVB2.Skip.to.Item"
"0.066 to 200","Range of Values",1447,1447,NA
".","Missing",4079,5526,NA
