"LBDBR8LC.Code.or.Value","LBDBR8LC.Value.Description","LBDBR8LC.Count","LBDBR8LC.Cumulative","LBDBR8LC.Skip.to.Item"
"0","At or above the detection limit",240,240,NA
"1","Below lower detection limit",59,299,NA
".","Missing",2,301,NA
