"URXUCS.Code.or.Value","URXUCS.Value.Description","URXUCS.Count","URXUCS.Cumulative","URXUCS.Skip.to.Item"
"0.31 to 29","Range of Values",2528,2528,NA
".","Missing",77,2605,NA
