"LBDIHGSI.Code.or.Value","LBDIHGSI.Value.Description","LBDIHGSI.Count","LBDIHGSI.Cumulative","LBDIHGSI.Skip.to.Item"
"0.95 to 54.89","Range of Values",7841,7841,NA
".","Missing",1115,8956,NA
