"WBXA070.Code.or.Value","WBXA070.Value.Description","WBXA070.Count","WBXA070.Cumulative","WBXA070.Skip.to.Item"
"-1.2234 to 0.9996","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
