"AUXR4KL.Code.or.Value","AUXR4KL.Value.Description","AUXR4KL.Count","AUXR4KL.Cumulative","AUXR4KL.Skip.to.Item"
"30 to 100","Range of Values",24,24,NA
"666","No response",1,25,NA
"888","Could not obtain",0,25,NA
".","Missing",4475,4500,NA
