"LBX172LA.Code.or.Value","LBX172LA.Value.Description","LBX172LA.Count","LBX172LA.Cumulative","LBX172LA.Skip.to.Item"
"1.1 to 31.6","Range of Values",2199,2199,NA
".","Missing",348,2547,NA
