"DRD350H.Code.or.Value","DRD350H.Value.Description","DRD350H.Count","DRD350H.Cumulative","DRD350H.Skip.to.Item"
"1","Yes",2919,2919,""
"2","No",386,3305,"DRD350I"
".","Missing",5399,8704,""
