"DSQTVB12.Code.or.Value","DSQTVB12.Value.Description","DSQTVB12.Count","DSQTVB12.Cumulative","DSQTVB12.Skip.to.Item"
"0.02 to 15100","Range of Values",2786,2786,NA
".","Missing",7389,10175,NA
