"AUXU2KR.Code.or.Value","AUXU2KR.Value.Description","AUXU2KR.Count","AUXU2KR.Cumulative","AUXU2KR.Skip.to.Item"
"-10 to 85","Range of Values",1681,1681,NA
"666","No response",1,1682,NA
"888","Could not obtain",0,1682,NA
".","Missing",125,1807,NA
