"DMDCITZN.Code.or.Value","DMDCITZN.Value.Description","DMDCITZN.Count","DMDCITZN.Cumulative","DMDCITZN.Skip.to.Item"
"1","Citizen by birth or naturalization",9896,9896,NA
"2","Not a citizen of the US",1128,11024,NA
"7","Refused",10,11034,NA
"9","Don't know",1,11035,NA
".","Missing",4,11039,NA
