"DS1TFIBE.Code.or.Value","DS1TFIBE.Value.Description","DS1TFIBE.Count","DS1TFIBE.Cumulative","DS1TFIBE.Skip.to.Item"
"0.3 to 24","Range of Values",96,96,NA
".","Missing",9242,9338,NA
