"AUXR2KR.Code.or.Value","AUXR2KR.Value.Description","AUXR2KR.Count","AUXR2KR.Cumulative","AUXR2KR.Skip.to.Item"
"65 to 90","Range of Values",8,8,NA
"666","No response",0,8,NA
"888","Could not obtain",0,8,NA
".","Missing",1881,1889,NA
