"WTSPP43.Code.or.Value","WTSPP43.Value.Description","WTSPP43.Count","WTSPP43.Cumulative","WTSPP43.Skip.to.Item"
"0 to 839494.78371","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
