"RFXC072.Code.or.Value","RFXC072.Value.Description","RFXC072.Count","RFXC072.Cumulative","RFXC072.Skip.to.Item"
"-7.543 to 4.634","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
