"URDMHPLC.Code.or.Value","URDMHPLC.Value.Description","URDMHPLC.Count","URDMHPLC.Cumulative","URDMHPLC.Skip.to.Item"
"0","At or above the detection limit",1746,1746,NA
"1","Below lower detection limit",858,2604,NA
".","Missing",114,2718,NA
