"OPDSVB.Code.or.Value","OPDSVB.Value.Description","OPDSVB.Count","OPDSVB.Cumulative","OPDSVB.Skip.to.Item"
"0","No",2424,2424,NA
"1","Questionable",2,2426,NA
"2","Yes",0,2426,NA
".","Missing",508,2934,NA
