"URXCPM.Code.or.Value","URXCPM.Value.Description","URXCPM.Count","URXCPM.Cumulative","URXCPM.Skip.to.Item"
"0.07 to 98.15","Range of Values",2588,2588,NA
".","Missing",106,2694,NA
