"MCQ170L.Code.or.Value","MCQ170L.Value.Description","MCQ170L.Count","MCQ170L.Cumulative","MCQ170L.Skip.to.Item"
"1","Yes",112,112,NA
"2","No",87,199,NA
"7","Refused",0,199,NA
"9","Don't know",27,226,NA
".","Missing",9440,9666,NA
