"LBDRSTSI.Code.or.Value","LBDRSTSI.Value.Description","LBDRSTSI.Count","LBDRSTSI.Cumulative","LBDRSTSI.Skip.to.Item"
"0.017 to 1.04","Range of Values",1073,1073,NA
"0.012","Fill Value of Limit of Detection",7033,8106,NA
".","Missing",1156,9262,NA
