"LBXVCT.Code.or.Value","LBXVCT.Value.Description","LBXVCT.Count","LBXVCT.Cumulative","LBXVCT.Skip.to.Item"
"0.0035 to 0.017","Range of Values",1362,1362,NA
".","Missing",127,1489,NA
