"LBXBAPCT.Code.or.Value","LBXBAPCT.Value.Description","LBXBAPCT.Count","LBXBAPCT.Cumulative","LBXBAPCT.Skip.to.Item"
"0.1 to 4","Range of Values",8116,8116,NA
".","Missing",1049,9165,NA
