"LBXV4C.Code.or.Value","LBXV4C.Value.Description","LBXV4C.Count","LBXV4C.Cumulative","LBXV4C.Skip.to.Item"
"0.0144 to 9.7","Range of Values",286,286,NA
".","Missing",565,851,NA
