"DR2IFOLA.Code.or.Value","DR2IFOLA.Value.Description","DR2IFOLA.Count","DR2IFOLA.Cumulative","DR2IFOLA.Skip.to.Item"
"0 to 3149","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
