"RFXT048.Code.or.Value","RFXT048.Value.Description","RFXT048.Count","RFXT048.Cumulative","RFXT048.Skip.to.Item"
"407 to 416","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
