"DR1TVB12.Code.or.Value","DR1TVB12.Value.Description","DR1TVB12.Count","DR1TVB12.Cumulative","DR1TVB12.Skip.to.Item"
"0 to 104.5","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
