"DRD370G.Code.or.Value","DRD370G.Value.Description","DRD370G.Count","DRD370G.Cumulative","DRD370G.Skip.to.Item"
"1","Yes",192,192,""
"2","No",4929,5121,"DRD370H"
".","Missing",4692,9813,""
