"FSD032D.Code.or.Value","FSD032D.Value.Description","FSD032D.Count","FSD032D.Cumulative","FSD032D.Skip.to.Item"
"1","Often true",192,192,NA
"2","Sometimes true",750,942,NA
"3","Never true",4420,5362,NA
"7","Refused",11,5373,NA
"9","Don't know",12,5385,NA
".","Missing",3869,9254,NA
