"DR1IALCO.Code.or.Value","DR1IALCO.Value.Description","DR1IALCO.Count","DR1IALCO.Cumulative","DR1IALCO.Skip.to.Item"
"0 to 369.6","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
