"LBXT4F.Code.or.Value","LBXT4F.Value.Description","LBXT4F.Count","LBXT4F.Cumulative","LBXT4F.Skip.to.Item"
"0.18 to 2.54","Range of Values",2366,2366,NA
".","Missing",178,2544,NA
