"AUXR6KL.Code.or.Value","AUXR6KL.Value.Description","AUXR6KL.Count","AUXR6KL.Cumulative","AUXR6KL.Skip.to.Item"
"0 to 110","Range of Values",21,21,NA
"666","No response",1,22,NA
"888","Could not obtain",0,22,NA
".","Missing",1785,1807,NA
