"MCQ160E.Code.or.Value","MCQ160E.Value.Description","MCQ160E.Count","MCQ160E.Cumulative","MCQ160E.Skip.to.Item"
"1","Yes",258,258,"MCQ180E"
"2","No",5141,5399,""
"7","Refused",0,5399,""
"9","Don't know",11,5410,""
".","Missing",5060,10470,""
