"SMQ851.Code.or.Value","SMQ851.Value.Description","SMQ851.Count","SMQ851.Cumulative","SMQ851.Skip.to.Item"
"1","Yes",100,100,""
"2","No",6057,6157,"SMQ863"
"7","Refused",2,6159,"SMQ863"
"9","Don't know",0,6159,"SMQ863"
".","Missing",585,6744,""
