"DR1IVB1.Code.or.Value","DR1IVB1.Value.Description","DR1IVB1.Count","DR1IVB1.Cumulative","DR1IVB1.Skip.to.Item"
"0 to 10.988","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
