"DXXL4BMD.Code.or.Value","DXXL4BMD.Value.Description","DXXL4BMD.Count","DXXL4BMD.Cumulative","DXXL4BMD.Skip.to.Item"
"0.452 to 2.85","Range of Values",1734,1734,NA
".","Missing",1164,2898,NA
