"MCQ260AG.Code.or.Value","MCQ260AG.Value.Description","MCQ260AG.Count","MCQ260AG.Cumulative","MCQ260AG.Skip.to.Item"
"7","Brother",372,372,"MCQ250B"
".","Missing",9121,9493,""
