"DS2TSFAT.Code.or.Value","DS2TSFAT.Value.Description","DS2TSFAT.Count","DS2TSFAT.Cumulative","DS2TSFAT.Skip.to.Item"
"0.093 to 9","Range of Values",137,137,NA
".","Missing",9676,9813,NA
