"DR2SKY.Code.or.Value","DR2SKY.Value.Description","DR2SKY.Count","DR2SKY.Cumulative","DR2SKY.Skip.to.Item"
"1","Ordinary, sea, seasoned, or other flavored salt",952,952,NA
"2","Lite salt",39,991,NA
"3","Salt substitute",10,1001,NA
"91","Other",0,1001,NA
"99","Don't know",5,1006,NA
".","Missing",8807,9813,NA
