"DR2TTFAT.Code.or.Value","DR2TTFAT.Value.Description","DR2TTFAT.Count","DR2TTFAT.Cumulative","DR2TTFAT.Skip.to.Item"
"0 to 400.11","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
