"DXXWDBMC.Code.or.Value","DXXWDBMC.Value.Description","DXXWDBMC.Count","DXXWDBMC.Cumulative","DXXWDBMC.Skip.to.Item"
"0.13 to 1.85","Range of Values",6517,6517,NA
".","Missing",1217,7734,NA
