"DR1IS160.Code.or.Value","DR1IS160.Value.Description","DR1IS160.Count","DR1IS160.Cumulative","DR1IS160.Skip.to.Item"
"0 to 56.723","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
