"DRXIP184.Code.or.Value","DRXIP184.Value.Description","DRXIP184.Count","DRXIP184.Cumulative","DRXIP184.Skip.to.Item"
"0 to 0.485","Range of Values",141931,141931,NA
".","Missing",1073,143004,NA
