"DS2ISODI.Code.or.Value","DS2ISODI.Value.Description","DS2ISODI.Count","DS2ISODI.Cumulative","DS2ISODI.Skip.to.Item"
"0.99 to 230","Range of Values",489,489,NA
".","Missing",5414,5903,NA
