"BMIHEAD.Code.or.Value","BMIHEAD.Value.Description","BMIHEAD.Count","BMIHEAD.Cumulative","BMIHEAD.Skip.to.Item"
"1","Could not obtain",0,0,NA
"2","Exceeds capacity",0,0,NA
"3","Not straight",0,0,NA
".","Missing",9950,9950,NA
