"DS2IVB12.Code.or.Value","DS2IVB12.Value.Description","DS2IVB12.Count","DS2IVB12.Cumulative","DS2IVB12.Skip.to.Item"
"0.3 to 60000","Range of Values",1730,1730,NA
".","Missing",3868,5598,NA
