"FSQ420.Code.or.Value","FSQ420.Value.Description","FSQ420.Count","FSQ420.Cumulative","FSQ420.Skip.to.Item"
"1","Yes",182,182,NA
"2","No",694,876,NA
"7","Refused",0,876,NA
"9","Don't know",2,878,NA
".","Missing",10161,11039,NA
