"SSXUP8.Code.or.Value","SSXUP8.Value.Description","SSXUP8.Count","SSXUP8.Cumulative","SSXUP8.Skip.to.Item"
"0.2 to 170","Range of Values",2638,2638,NA
".","Missing",82,2720,NA
