"RFXC057.Code.or.Value","RFXC057.Value.Description","RFXC057.Count","RFXC057.Cumulative","RFXC057.Skip.to.Item"
"-5.09 to 4.22","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
