"LBXDA1.Code.or.Value","LBXDA1.Value.Description","LBXDA1.Count","LBXDA1.Cumulative","LBXDA1.Skip.to.Item"
"24.5 to 197","Range of Values",4378,4378,NA
".","Missing",1265,5643,NA
