"DSD090.Code.or.Value","DSD090.Value.Description","DSD090.Count","DSD090.Cumulative","DSD090.Skip.to.Item"
"1 to 25550","Range of Values",9054,9054,NA
"7777777","Refused",1,9055,NA
"9999999","Don't know",30,9085,NA
".","Missing",32,9117,NA
