"DXXTRBMC.Code.or.Value","DXXTRBMC.Value.Description","DXXTRBMC.Count","DXXTRBMC.Cumulative","DXXTRBMC.Skip.to.Item"
"1.08 to 21.09","Range of Values",6076,6076,NA
".","Missing",1644,7720,NA
