"FSD032B.Code.or.Value","FSD032B.Value.Description","FSD032B.Count","FSD032B.Cumulative","FSD032B.Skip.to.Item"
"1","Often true",545,545,NA
"2","Sometimes true",1513,2058,NA
"3","Never true",5229,7287,NA
"6","Screened out",2375,9662,NA
"7","Refused",24,9686,NA
"9","Don't know",8,9694,NA
".","Missing",428,10122,NA
