"PUQ100.Code.or.Value","PUQ100.Value.Description","PUQ100.Count","PUQ100.Cumulative","PUQ100.Skip.to.Item"
"1","Yes",789,789,NA
"2","No",6991,7780,NA
"7","Refused",0,7780,NA
"9","Don't know",31,7811,NA
".","Missing",480,8291,NA
