"DRDINT.Code.or.Value","DRDINT.Value.Description","DRDINT.Count","DRDINT.Cumulative","DRDINT.Skip.to.Item"
"1","Day 1 only",1417,1417,NA
"2","Day 1 and day 2",7838,9255,NA
".","Missing",507,9762,NA
