"URDBPMLC.Code.or.Value","URDBPMLC.Value.Description","URDBPMLC.Count","URDBPMLC.Cumulative","URDBPMLC.Skip.to.Item"
"0","At or above the detection limit",1735,1735,NA
"1","Below lower detection limit",757,2492,NA
".","Missing",113,2605,NA
