"GTDBL2MN.Code.or.Value","GTDBL2MN.Value.Description","GTDBL2MN.Count","GTDBL2MN.Cumulative","GTDBL2MN.Skip.to.Item"
"7 to 167","Range of Values",2287,2287,NA
".","Missing",528,2815,NA
