"BIXC1M.Code.or.Value","BIXC1M.Value.Description","BIXC1M.Count","BIXC1M.Cumulative","BIXC1M.Skip.to.Item"
"6.56 to 1816.9","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
