"SMD450.Code.or.Value","SMD450.Value.Description","SMD450.Count","SMD450.Cumulative","SMD450.Skip.to.Item"
"1 to 2","Range of Values",55,55,NA
"3","3 or More",13,68,NA
".","Missing",10971,11039,NA
