"DS2TVB6.Code.or.Value","DS2TVB6.Value.Description","DS2TVB6.Count","DS2TVB6.Cumulative","DS2TVB6.Skip.to.Item"
"0.02 to 300","Range of Values",1654,1654,NA
".","Missing",7684,9338,NA
